NUM_OF_PARTICLES,GRID_SIZE,t_grid,t_gridcalc
24300,16,22229,2393810
24300,16,22077,2372077
24300,17,22936,2105036
24300,17,22796,2096478
24300,17,22562,2129354
24300,18,23511,1897336
24300,18,23315,1897530
24300,18,23206,1907728
24300,19,23958,1782689
24300,19,24195,1725751
24300,19,24007,1730488
24300,20,24660,1587673
24300,20,24578,1585779
24300,20,24858,1650806
24300,21,44929,1756648
24300,21,27270,1465145
24300,21,25747,1467795
24300,22,26463,1378525
24300,22,25901,1373865
24300,22,26020,1407538
24300,23,28686,1293238
24300,23,27768,1280612
24300,23,43773,1366770
24300,24,28664,1213180
24300,24,27669,1226203
24300,24,27577,1212084
24300,25,46452,1165068
24300,25,31553,1151824
24300,25,28482,1149957
24300,26,33043,1105315
24300,26,32085,1100962
24300,26,29545,1115567
24300,27,34545,1064986
24300,27,30447,1072646
24300,27,34029,1058854
24300,28,37353,1033681
24300,28,31975,1019193
24300,28,31687,1024604
24300,29,40637,998747
24300,29,35817,1002244
24300,29,32753,1013054
24300,30,39546,3340376
24300,30,37359,3130659
24300,30,38170,3269936
2700,21,6063,486897
2700,21,6451,454108
2700,21,7515,456073
2700,22,7217,490687
2700,22,8200,498489
2700,22,6583,489562
2700,23,9551,536084
2700,23,8661,1165922
2700,23,11319,1167489
2700,24,9720,1032970
2700,24,9391,603205
2700,24,7934,579133
2700,25,12551,1586502
2700,25,8964,1750351
2700,25,9629,1637682
2700,26,9565,1798754
2700,26,11166,1758199
2700,26,11955,1789788
2700,27,11858,1884271
2700,27,12587,1830901
2700,27,13953,1970794
2700,28,16508,2081942
2700,28,11346,2063141
2700,28,12450,2073052
2700,29,15429,2234475
2700,29,17671,2260832
2700,29,13502,2262047
2700,30,13326,2418455
2700,30,16752,2490556
2700,30,14786,2490189
2700,31,15147,2637010
2700,31,21502,2634255
2700,31,15405,2639047
2700,32,15460,2805023
2700,32,23796,5039289
2700,32,17190,2875729
2700,33,17308,5580833
2700,33,21186,5530244
2700,33,19129,4619268
2700,34,19033,6336127
2700,34,25138,6816282
2700,34,19297,5640610
2700,35,19790,6641831
2700,35,27286,7358574
2700,35,22054,7458616
8100,21,13647,850233
8100,21,19376,1213394
8100,21,13949,929215
8100,22,14533,1104347
8100,22,14653,1169026
8100,22,14727,1165463
8100,23,19497,1147073
8100,23,14753,1160286
8100,23,15174,1167905
8100,24,20340,1151240
8100,24,16291,1172783
8100,24,15903,1175871
8100,25,27437,1180580
8100,25,16811,1198518
8100,25,16969,1188978
8100,26,23510,1195874
8100,26,16884,1224370
8100,26,17562,1199980
8100,27,26726,1230220
8100,27,19015,1236765
8100,27,18250,1241985
8100,28,19099,1263493
8100,28,20126,1281647
8100,28,19966,1348091
8100,29,20899,1315369
8100,29,20403,1320908
8100,29,20966,1306325
8100,30,22666,1367092
8100,30,21296,1372018
8100,30,21295,1369457
8100,31,31331,1417025
8100,31,23512,1800962
8100,31,22017,1449501
8100,32,24849,1491257
8100,32,25032,1504305
8100,32,24608,1495664
8100,33,25422,3656442
8100,33,24638,2096891
8100,33,34800,1572618
8100,34,26362,1652358
8100,34,26835,3216093
8100,34,25323,3898261
8100,35,28833,4492348
8100,35,39042,3571618
8100,35,29523,4431318
24300,31,43982,3584692
24300,31,35127,3480521
24300,31,35676,3361006
24300,32,37606,3346049
24300,32,41511,3315207
24300,32,42400,3359032
24300,33,48832,3743715
24300,33,41123,3322636
24300,33,43731,3358054
24300,34,42522,3358741
24300,34,43336,3354298
24300,34,45897,3399007
24300,35,43795,3379281
24300,35,47058,3443007
24300,35,49099,3522012
24300,36,45307,3444153
24300,36,44444,3411769
24300,36,56167,3420833
24300,37,50206,3459887
24300,37,50303,3489176
24300,37,46005,3467735
24300,38,55609,3515685
24300,38,47627,3528341
24300,38,49017,3524748
24300,39,56555,3591068
24300,39,55839,3605537
24300,39,56148,3712440
24300,40,69030,3670397
24300,40,58187,3751234
24300,40,69027,3738797
900,21,5470,847340
900,21,4471,830339
900,21,4863,822851
900,22,7493,1184751
900,22,5485,1027889
900,22,6138,1387511
900,23,6229,1306756
900,23,7101,1243301
900,23,6329,1164314
900,24,8378,2173451
900,24,7609,1887635
900,24,6522,1816995
900,25,7288,2673405
900,25,8474,2794861
900,25,9701,2606871
25000,25,29130,1347495
25000,25,29195,1201270
25000,25,29294,1374378
25000,26,34871,1243277
25000,26,42710,1185027
25000,26,38260,1152182
25000,27,31844,1107896
25000,27,40534,1116035
25000,27,42902,1263364
25000,28,41038,1062291
25000,28,43490,1075840
25000,28,41239,1073240
25000,29,65764,1094559
25000,29,34386,1175667
25000,29,52303,1076651
25000,30,45255,3661343
25000,30,45509,3121471
25000,30,46853,3549688
25000,31,45906,3522933
25000,31,55568,3456440
25000,31,61852,3525489
25000,32,50349,3526798
25000,32,43865,3538475
25000,32,53626,3855415
25000,33,54483,3658504
25000,33,39676,3697797
25000,33,41295,3659502
25000,34,41665,3459054
25000,34,43041,3459751
25000,34,42047,3566143
25000,35,50378,3473214
25000,35,44800,3464790
25000,35,45348,3456227
50000,30,58614,2611311
50000,30,74903,2798474
50000,30,64227,2575473
50000,31,67546,2457006
50000,31,79402,2672015
50000,31,64210,2438569
50000,32,68579,2491025
50000,32,82043,2571249
50000,32,111490,2734980
50000,33,72851,2339913
50000,33,78832,2294746
50000,33,68203,2546189
50000,34,68558,2243695
50000,34,74398,2250427
50000,34,76427,2237995
50000,35,87497,2174149
50000,35,81087,2165440
50000,35,84500,2163232
50000,36,82236,2153692
50000,36,80422,2119012
50000,36,81796,5168411
50000,37,74134,5702547
50000,37,80897,6094966
50000,37,77957,6651254
50000,38,85979,6988526
50000,38,89519,7068043
50000,38,79677,6990544
50000,39,89490,6913359
50000,39,86343,6748751
50000,39,95779,6948606
50000,40,89307,6872140
50000,40,88518,6923889
50000,40,90619,6795044
